index,text
56,"['moga', 'beneran', 'beli', 'bulan', 'kemarin', 'habis', 'isi']"
57,"['apa', 'laku', 'listrik', 'pascabayar', 'tolong', 'info']"
58,"['kok', 'gk', 'yang', 'ngucapin', 'nih', 'perintah']"
59,"['diskon', 'bulan', 'bulan', 'selanjutny', 'langsung', 'lejit', 'bayar', 'listrik', 'lucu']"
60,"['tlong', 'jgn', 'diskon', 'bormal', 'seperti', 'biasa', 'gp']"
61,"['percuma', 'diskon', 'kalau', 'ujung', 'ujung', 'tagih', 'bulan', 'ikut', 'naik', 'kali', 'lipat']"
62,"['benar', 'tuh', 'bulan', 'diskon', 'bulan', 'berikute', 'kali', 'lipat']"
63,"['trik', 'marketing', 'perintah', 'baca', 'banget']"
64,"['tar', 'kejut', 'naik', 'tarif']"
65,"['diskon', 'kemarin', 'kir', 'bulan', 'oktober', 'baru', 'habisini', 'mau', 'kasih', 'diskon']"
66,"['kalau', 'bawah', '130', 'arti', '130', 'diskon', 'gt', 'bagaimana', 'sih', 'mksdnya']"
67,"['rasa', 'subsidi', 'perintah', 'sangat', 'bantu', 'saya', 'pribadi', 'masyarakat', 'lai']"
68,"['130', 'bulan', 'lalu', 'bulan', 'diskon', 'hbis', 'tagih', 'naik', 'sblumnya', '250', 'sekarang', 'ampek', '30', 'pdhal', 'pakai', 'sama']"
69,"['alhamdulillah', 'pernh', 'rasa', 'potong', 'harga', 'listrik', 'benar', 'ringan', 'banget']"
70,"['usah', 'diskon', 'lah', 'mending', 'turun', 'kan', 'tdl', 'nyapasti', 'jauh', 'lebih', 'bantu', 'semua', 'masyarakat']"
71,"['alhamdulilah', 'ini', 'berita', 'benar', 'moga', 'barokah', 'indonesia', 'aamin', 'rob']"
72,"['tidak', 'butuh', 'diskonet', 'konter', 'ujung', 'lonjak', 'tingi6']"
73,"['ibu', 'ful', 'senyum']"
74,"['diskon', 'mahal', 'biasa', 'nya', 'kan', 'untuk', 'tutup', 'diskon', 'uda', 'kasih']"
75,"['modus', 'jadi', 'ganda', 'bulan', 'lanjut']"
76,"['aku', 'bulan', 'kagak', 'isi', 'token', 'dan', 'super', 'sangat', 'hemat', 'turut', 'ku', 'biasa']"
77,"['biasa', 'diskon', 'bulan', '150', 'telah', 'diskon', 'malah', 'keluar', 'listrik', 'jadi', '250', 'bingung', 'mulia']"
78,"['sama', 'juga', 'biasa', 'bayar', 'paling', 'banyak', '60', 'sekarang', '120']"
79,"['alhamdulilah', 'diskon', 'februari', 'belum', 'terimakasih', 'sangat', 'bantu']"
80,"['sama', 'januari', 'februari', 'kemarin']"
81,"['alhamdulillah', 'terima', 'kasih', 'bapak', 'presiden']"
82,"['stok', 'dlu', 'belum', 'abisni', 'lg', 'disko', 'mantap']"
83,['alhamdulilah']
84,"['rumah', 'subsidi', 'listrikny', 'token', '130va', 'bagong']"
85,"['belum', 'isi', 'token', 'sejak', 'diskon', 'lalu']"
86,"['sipdiscont', 'lagipunya', 'mulai', 'bulan', 'januari', 'sudah', 'tokenyabulan', 'baru', 'isiklo', 'diskon', 'akan', 'isi', 'sampai', '2026', 'habistrims', 'perintah']"
87,"['mnding', 'bayar', 'kaya', 'biasa', 'ajangapain', 'diskonhabis', 'diskon', 'bayar', 'listrik', 'mau', 'jantung', 'naik', 'kali', 'lipat']"
88,"['peras', 'bukan', 'lonjak', 'kali', 'deh', 'kembali', 'tagih', 'awal', 'kan', 'bulan', 'diskon', '50', 'persen', 'paruh', 'harga', 'biasa', 'setlag', 'kembali', 'jadi', 'kali', 'lipat', 'harga', 'diskon', 'kan', 'memang', 'gw', 'kok', 'alhamdulilah', 'lama', 'diskon', 'bantu']"
89,"['halo', 'sudah', 'mau', 'bulan', 'beli', 'listrik']"
90,"['diskon', 'januari', 'sd', 'februari', 'belum', 'sampai', 'sekarangterang', 'benderang', 'indonesia', 'terima', 'kasih', 'bapak', 'presiden']"
91,"['130', 'dapat', 'gk', 'woy']"
92,"['diskon', 'kemarin', 'ful', 'beli', 'jatah', '450rb', 'ada', '250kwh', 'kalau', 'diskon', 'lumayan', 'lah', 'hemat', 'akhir', 'tahun']"
93,"['kalau', 'di', '130']"
94,"['alhamdulillah', 'kalau', 'diskon', 'kemarin', 'bulan', 'juni', 'banget', 'diskon', 'klau', 'memang', 'benar']"
95,"['biasa', 'bayar', '30', 'ribu', 'diskon', 'jadi', '18', 'ribu', 'bulan', 'ikut', '425', 'ribu']"
96,"['januari', 'isi', 'token', 'nih', 'kalau', 'juni', 'coming', 'son', 'again', 'oke', 'lah', 'gas']"
97,"['abis', 'diskon', 'naik', 'kali', 'lipat']"
98,"['hanya', 'setor', '18rb', 'bulan', 'sekarang']"
99,['alhamdulillah']
100,"['alhamdulillah', 'alah', 'diskon']"
101,"['coba', 'tar', 'lihat']"
102,"['baru', 'nambah', 'daya', '20']"
103,"['kasianya', 'yang', '20', 'gadapet', 'disc']"
104,"['laku', 'listrik', 'token', 'ya', 'info', 'ka']"
105,"['jadi', 'sekarang', 'kalau', '130', 'va', 'bagaimana']"
106,"['punya', 'yang', 'diskon', 'keamrin', 'sudah', 'loh']"
107,"['mantap', 'diskon', 'kemarin', 'masih', 'sudah', 'bulan', 'isi', 'token']"
108,"['20', 'menang']"
109,"['bulan', 'sekarang', 'biasa', 'bayar', '30', 'jadi', '40']"
110,"['bagus', 'kasih', 'diskon', 'terus']"
111,"['diskon', 'kemarin', 'sudah', 'kalau', 'diskon', 'alhamdulilah']"
112,"['alhamdulillah', 'diskon', 'bulan', 'kemarin', 'belum', 'masih', 'satu', 'bulan', 'lebih', 'pemakaianyaeh', 'malah', 'diskon', 'lagitrimakasih', 'bapak', 'prabowo']"
113,"['20va', 'butuh', 'diskon']"
114,"['bawa', '130', 'discountkami', 'kwh', '220', 'menang']"
115,"['suka', 'suka', 'diskon', 'terus', 'bapak', 'listrik']"
116,"['tidak', 'deh']"
117,"['habis', 'diskon', 'tau', 'tahu', 'tagih', 'naik']"
118,['alhamdulilah']
119,"['gratis', 'ikut', 'ntah', 'lonjak']"
120,"['valid', 'ini']"
121,"['tehnik', 'marketing', 'nya', 'mantap', 'turun', 'dulu', 'baru', 'naik', 'rakyat', 'sekarang', 'mah', 'pada', 'pinter']"
122,"['diskon', 'sih', 'sudah', 'diskon', 'bayar', 'listrik', 'naik']"
123,"['alhamdulillah', 'bulan', 'kmaren', 'ja', 'token', 'masih', 'banyak', 'senang', 'klo', 'diskon', 'gni', 'bulan', 'besok', 'diskon', 'lg', 'alhamdulillah', 'alhamdulillah', 'alhamdulillah', 'mantap']"
124,"['disko', 'bawah', '130', 'arti', '130', 'dapat', 'ya']"
125,"['ada', 'saing', 'bilang', 'rugi']"
126,"['yg', 'benar', 'bakal', 'program', 'keg', 'bulan', 'kemarin', 'isi', 'token', 'insya', 'tahun', 'kalau', 'ini', 'ada', 'bakal', 'tahun', 'mikir', 'token', 'saya']"
127,"['mana', 'tadi', 'sudah', 'isi', 'bulan']"
128,"['saldo', 'masih', '40', 'januari', '80', 'sangat', 'bantu']"
129,"['diskon', 'bulan', 'kemarin', 'bulan', 'sekarang', 'asa', 'kali', 'lipat', 'beli', 'plsa', 'nya']"
130,"['alhamdulilahterimkasih', 'pln']"
131,"['alhamdulillah', 'periode', 'awal', 'token', 'mau', 'sekarang', 'diskon']"
132,"['diskon', 'dulu', 'buat', 'ku', 'trauma']"
133,"['discounthbs', 'tuh', 'lonjak']"
